method,run,kp_0_5s,ki_0_5s,kd_0_5s,kp_1_2s,ki_1_2s,kd_1_2s,rpm_1s,rpm_2s_end,pwm_mean
Full_Diffusion_DDIM20,1,0.7916179800033569,2.5,0.12,0.7732995760440826,2.496743991374969,0.12000000000000002,73.069,73.12,75.41850748029412
Full_Diffusion_DDIM20,2,0.8947738289833069,2.4963985872268677,0.12,0.8879078352451325,2.458344897031784,0.12000000000000002,72.686,72.804,74.08334738178681
Full_Diffusion_DDIM20,3,0.8582017749547959,2.5,0.12,0.8411812624335289,2.4935481822490693,0.12000000000000002,72.622,72.798,74.09451322164618
Full_Diffusion_DDIM20,4,0.8763517737388611,2.5,0.12,0.8536150366067886,2.493801307678223,0.12000000000000002,72.171,73.317,74.410308192083
Full_Diffusion_DDIM20,5,0.9212483477592468,2.5,0.12,0.906300657093525,2.4808214867115024,0.12000000000000002,73.335,73.165,75.22902904580368
Full_Diffusion_DDIM30,1,0.7717425161600114,2.3295474195480343,0.12,0.7569393590092659,2.2934079682826995,0.12000000000000002,72.594,73.168,75.89362146381264
Full_Diffusion_DDIM30,2,0.8219038909673693,2.490559568405151,0.12,0.8091313806176185,2.448507251739502,0.12000000000000002,73.341,72.867,75.3588180693686
Full_Diffusion_DDIM30,3,0.8597075778245926,2.377934341430664,0.12,0.7902164962887765,2.2405127251148227,0.1187545244693756,73.501,72.722,75.0013901846777
Full_Diffusion_DDIM30,4,0.9875942683219909,2.3162555074691773,0.06732327032089228,0.9425590267777443,2.3236663222312925,0.07449828171730039,74.235,72.866,74.56428446902868
Full_Diffusion_DDIM30,5,0.7770697748661043,2.1996443462371826,0.12,0.7815343305468561,2.2905035436153414,0.12000000000000002,73.239,72.742,74.84599264915335
Full_Diffusion_DDIM50,1,0.811217600107193,1.9405925226211547,0.1095187940597534,0.823204405605793,1.6524049675464627,0.08297226977348324,73.789,73.459,75.21229975455249
Full_Diffusion_DDIM50,2,0.6711651766300202,1.8871779608726502,0.0881055307388305,0.7023126158118249,1.9416694402694703,0.09321673464775082,74.533,73.14,75.68400282511304
Full_Diffusion_DDIM50,3,0.9728171956539153,1.9815291047096255,0.10663970661163324,0.9536920824646951,1.9223348546028138,0.10700458288192745,73.881,73.094,74.64393115825368
Full_Diffusion_DDIM50,4,0.7239198881387712,2.0091921639442445,0.08054570817947382,0.7094290983676912,2.031837764978409,0.08034189820289607,73.731,72.904,74.72546198315189
Full_Diffusion_DDIM50,5,1.0269558787345887,1.8013668632507325,0.0934177136421203,1.0107013031840324,1.8338643145561222,0.09695469117164605,74.888,73.914,74.50955579373205
Horizon30_Full_DDIM30,1,0.55,1.7315786600112915,0.11721858644485472,0.6090853953361512,1.6504384255409241,0.1158730030059814,74.463,72.918,76.83544405685853
Horizon30_Full_DDIM30,2,0.55,1.637782400846481,0.10937017965316767,0.5934381711483001,1.4300014746189116,0.0942279081344604,74.697,73.131,77.1172761856097
Horizon30_Full_DDIM30,3,0.5601996684074402,1.789389533996582,0.12,0.55,1.8006787478923798,0.11998341608047487,73.683,73.207,76.55130378674272
Horizon30_Full_DDIM30,4,0.5564186280965805,1.6115398824214935,0.07748868799209592,0.55,1.648022527694702,0.10056085324287409,75.021,73.143,76.10384677612059
Horizon30_Full_DDIM30,5,0.8164216327667237,1.6229457080364227,0.1159953317642212,0.794860003590584,1.43653999209404,0.10971649575233453,74.783,73.419,76.15872587915158
